text,label,label_name,split
"Mmm quizás no sirva de nada y quizás no lo leas pero wey no puedes caerles bn a todos  por algo existe el bn y el mal hay personas que te van a intentar hundir y otras que te ayudarán a salir, Todos cometemos errores somos humanos   Y tu tmb wey y que te ayas disculpado es reconocer tu error tranquila yo Siempre e dicho que es mejor tener 2 amigos que te cuiden estén junto ati que los ayudes y ellos ati osea por igual a tener 10millones de pirañas que se hacen llamar tus amigos pero esperan  que tu falles en alguito para hundirte Nada más solo darte mi apoyo y are todo lo que se pueda para tratar de hacerte sonreír vale no estés haci😎😊 Las personas como tu son radiantes cuando sonríen",0,negative,train
Oe yara pensé que era Jet lii jajajajajajajajaja csmmmr igualito 🤣🤣🤣,1,neutral,train
Buuuuuuuajajajajaja yo ayer 😂😂😂😂😂😂😂😂😂 Nacho SanNacho Sandí,2,positive,train
Está samahara Lobatón se parece a mi ex🙄😏🙄le falta un tornillo y tiene problemas psicológicos,0,negative,train
X eso le pelaron..😎😎🤪🥺,2,positive,train
Lo dudo que betito vaya estar ahí 🤣🤣porque se hace la pichi fue que desertó,0,negative,train
Maria Ale 😎 tenemos que ir si o si 🥺,2,positive,train
no me acuerdo bien cuánta plata le di,1,neutral,train
"Chau, cojo",0,negative,train
Hay cuidado te coma el cuco leiva jajaja 😂,0,negative,train
"Diego Tuesta ""si te compro eso, no vas a almorzar"" jakdks pesado siempre 🤦",0,negative,train
Tú hermana debería estar presa y tal ves ahí podíamos creerte en algo por ahora no nos representas y explica y párate al frente en tu prensa mermelera a explicarnos como lograste tu tesis en tan corto tiempo 😡mira primero la paja de tu propio ojo para tal ves así poder jugar bien 😡luciana León para cuando entre tantos corruptos 😡 No te metas con nuestro valiente Presidente Pedro Castillo 💪💪💪 nosotros el pueblo lo elegimos por 5 años y deja de joderlo como la derecha podrida y paga tu millonaria deuda al Perú,0,negative,train
"Ya, ya, señora ahora diga q va lanzarrrr para q tanto show q la deja peor que antes 🤦",0,negative,train
"Ir a Pastoruri un fiasco ahora no te dejan tocar ni un pedaso de hielo , todo cercado como para animalitos disquen x q se esta descongelando si tocas con el calor de la mano 😉😉",0,negative,train
Jose MiguelMoretto tu restaurant de la hamburguesa yala✅ 🤗,2,positive,train
Entonces cachemos,2,positive,train
"Chino dile a ese pelado que se deje de estarme pidiendo CANJE , como tiene para chupar como pendej@@o🥴🥴🥴 y no tiene para pagar su cuarto",0,negative,train
"Cuando terminó la canción, la abrazó y la besó",2,positive,train
"Bien, toda fresh como tiene que ser 😊🤗👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",2,positive,train
choco bot me llegas a la punta del corazón 🤠,2,positive,train
"Bella y regia… hoy cumplo 43 añitos y casi casi estoy así de espectacular como tú 😉😀… la gente igual va a hablar, rajar y comentar… bendiciones y cariños desde Houston ☺️😘😘",2,positive,train
"Camille Vergara Cavero la primera, cuando te hacia ir para que apagues la luz o me alcances mis lapiceros o el control 😓😥 miss you... Solo para eso jejeje mentira",1,neutral,train
Nada de lanzar bombachos por favor 😁😁,1,neutral,train
Jeancarlos Dg ptmre mira como lo perrean a tu hijo Jose Aguilar Lucero te deja mal a la firme 🤦🏻🤣,0,negative,train
Magdalena Panta faltó la que después de la juerga quiere tirar v: 🤣,0,negative,train
"Nando Guevara Yeison Brito 👀🫣 ya no tomo tampoco, tamos' iguales todo 🤣",1,neutral,train
"FELIZ NAVIDAD, misas todas las bendiciones desde nuestro hermoso Perú 🇵🇪🇵🇪🇵🇪, sigan haciendo lo qué les encanta y éxito en todo lo que se propongan. Psdt:Taper y Micro 🤙🤙",2,positive,train
"NI CON JUGUETES PUEDES APORTAR, ASNO DE M13RD4 ... PERO PARA ROGARME POR UNA CHUPADA DE MI PINGA, AHI SI TAS PRIMERO. 😡😡😡😡",0,negative,train
Esa colorada está en todas 👌,2,positive,train
Los cachos de cuto 👍,1,neutral,train
"Ay no, el pescado crudo? Nada que ver, por lo demás se ve rico. Saludos a los que gusten de este hermoso plato 😋😋",1,neutral,train
Mi  Luca bello 🥳❤️🤗. Excellente receta. 😍,2,positive,train
La señito de lo Juanes prepara ricoo 😋,2,positive,train
"Los serenos si que son unos reverendos taraos. Intervienen webadas...o sino están dando vueltas, en los parques, en ves de patrullar las calles. Uyy pero para quitarles sus cositas, a una anciano ambulante, son bien machos y eficaces. Payasos d 💩!!",0,negative,train
Y Amalia: pero si te fuiste y volviste ahí mismo,1,neutral,train
¿De verdad quieren mechar?,0,negative,train
Y también encerrarán a los PEDÓFILOS... Y los harán trabajar! 😀 Por la paz y seguridad de todos los niños del Perú... Marcaré el ✏️✏️✏️✏️✏️,0,negative,train
La firme no das ni risa 😂,0,negative,train
"Lo interesante es que como no es chileno le preguntaba a algunos que se cachaba que no eran cuicos 😄 y los que sí eran lo negaron 🤣 Yo creo que a algunos de ellos, un chileno nunca les habría preguntado porque sabemos distinguirlos de inmediato 😅",0,negative,train
Melissa Vargas Olga Jacquelinne algunas vez hicimos la ruta del pisco ahora vamos por la del ceviche???🤣🤣🤣,2,positive,train
"Hay, pobrecito Betito 😞 Beto es una víctima de los terrucos que amenazan con sacarlo 😭😭 Ahhhh, pero sigamos sin investigar antes de decir que un futuro congresista es “borracho” por la forma que habla, sin saber en realidad su problema de salud. Pero no pasa nada, Betito es víctima de constantes ataques 🥺🥺😭😭 así que tiene que RECTIFICARSE cuando se le dé la regalada gana !!!!  Hace tiempo que dejaste de ser el periodista que empezó hace tanto tiempo.. ",0,negative,train
Osmani Piers Cuerojas gordo mira 😫😫,0,negative,train
Orgulloso de mi raza sc💙,2,positive,train
Coronado Plata'o Plomo cuando se malogre tu moto 😂,0,negative,train
Jajaja que mate de risa enserio era amigo nomás de Gaby y que chibolasa Natalia allí ya te habías  hecho las cejas microblading 🤣🤣😂😂🤣 tu esposo parece Eduardo Capetillo 😅,2,positive,train
Fernanda Joceline DG Vamos a conseguirlos para el mono 🤭,0,negative,train
"Quedé trauma, imagínense ver a su celular y recordar que Raúl le pasó su huevo 😱🤣😂🤣😂",0,negative,train
Chicas muero x su video de Iquitos para ir con mi familia y saber donde hacerla linda 😘,2,positive,train
Samuel Vargas Alcantara yala!!!! El primeris!!! 😎,2,positive,train
No pues cerron no seas estupido como vas a decir que seguirás algunas ideas del hijo de puta de maduro  Hay que ser bien imbesil o no vez a los venezolanos huyendo de Venezuela 🇻🇪 y en nuestro país cometiendo delitos a diestra y siniestra  esa tu idea de hacer con el peru yo seré el primero en luchar contra ti si te atreves,0,negative,train
Enano cabrón,0,negative,train
"Lo mejor de la transmisión la chapa gonzalo ""pistola vieja"" 🤣🤣🤣🤣🤣 erick es puro floro con la camiseta puesta no ve la realidad!!",0,negative,train
"Que linda , así de aplicada será en el cole 🤔",2,positive,train
Diva!!!!! Que agradezcan porque si yo tuviera tu cuerpo andaría calata 🤣🤣🤣🤣🤣,1,neutral,train
Etza piezaza su nombre.😄😄😄😄🤣🤣,0,negative,train
"Seré sincero, le guardo rencor por que hablo vainas del ricolaaaaaas 😥😥😥",0,negative,train
"Debes de terminar agotada, es parte de la tareas como mami... ahora a tener un poco de tiempo para ti misma y descansar temprano!! Besos 😘",2,positive,train
"que figurete esta mujer ,si de verdad te importara los niños ni tocarias el tema de ellos encima habla de devengados que le dele debe a angi.sera que quiere su comision? no se pero por ventilar sus intimidades.🤮🤮🤮 esta tipeja era quien le decia antes,  se paseaba por todos los  canales  con paul diciendo que no eran sus hijos y que no tenia que pasarle ni un sol a los bebes hasta que la justicia le obligo a hacerce la prueba de adn pasarle alimentos cuando angi estaba enchile recordaran. que piesa esa mujercita que la gente olvida su verdadera cara 🤮🤮🤮",0,negative,train
Lina Fernandez Nuñez🤭🤭 saca el pisco 🤣🤣,2,positive,train
Lo máximo!!!! No hay lugar más rico para comer que Trujillo 😍❤❤❤ igual sigo insistiendo que el ceviche en El Pescadito o El tiburón en hco! Pero esta vez SÍ has ido a los fijos 👌🏼👌🏼👌🏼👌🏼,2,positive,train
😂😂😂 stos ct... Ya se quieren volver faranduleros anden a trabajar ooee y dejen de estar en tonterias viejos y en huevadas no les parece algo anormal...,0,negative,train
"Falto panadería los huérfanos, el gramadal, su pollito Norkys al frente del congreso jejee, su chifa  y su chela y chicharrón de pescado en el moqueguano 😅",2,positive,train
Tantas instrucciones para comer el caldo d gallina. 🙈😁,1,neutral,train
Andrea yo sé que aún extrañas el chicharroncito colorado del Leopardo 😏👉🏻,1,neutral,train
Creo que siempre amé viajar. Desde que tenia un año y medio y me despedí alegremente mientras viajaba hacia chiclayo en compañía de mi tío (según anécdota de mamá). De ahi de peque mis padres siempre me llevaron de viaje a conocer un poco más del Perú y nuestras costumbres 😄😘 Nancy y Pedro. .. costa sierra y ceja de selva! Super pendiente la selva..si o si este año!,2,positive,train
Bellos !!! Lo Máximo chicos !👏👏👏😊😊😊😊,2,positive,train
Estuvo muy paja todo pero debiste probar la salchicha huachana 🤩,2,positive,train
eres la cagada beto 😂😂,2,positive,train
A mí me daría vergüenza ajena escuchar a ese 🤡cantar y tararear esa basura de música que canta los chibolos de ahora no saben de música .,0,negative,train
Que ni te vean los chibolos pues ya te tenían miedo sin maquillaje y tú sabes porque lo digo 🤭,0,negative,train
El chancho al palo en verdad es exquisito! 😵,2,positive,train
"Mujer para delincuente, esa facha, desparpajo y lo ordinaria que se ve. Deberíamos tomar la justicia nomas por nuestras propias manos.  Punto. Y ahora encima la soltarán. El colmo con esa gentuza. 🤬😠😠",0,negative,train
Todos son chibolos,1,neutral,train
Hasta Charlie está con Tobi 🥰,2,positive,train
Soy tu hincha desde siempre 😊😁😁😁,2,positive,train
"Vi la película 🍿 y la verdad es mala , no tiene argumento y al final al antiguo personaje(niños) y los actuales (adultos) aparecen y hablan , como que eso fue la detonante , como si quisieran llenar con lo que sea , definitivamente   Asu mare 1 la mejor de todas y cachin de actor , ya no más ,",0,negative,train
Un choclito con queso camino a Machupichu  🤤🤤🤤🤤,2,positive,train
¿Alguien tiene un troncho?,1,neutral,train
Henrry Franco así te pones brother 😂!!,1,neutral,train
¿Por qué tenían que malograr la serie con esta chica?  🤮,0,negative,train
El dueño del lápiz siente que se está quedando sin punta que mejor sitio que huir a México de izquierda que está aún económicamente bien 💣🐀💵✏️,0,negative,train
Cuanto 💩tecleando..!!! Me fallaste ind. Santa fe 😠🤣,0,negative,train
Tranquilo cuevita ahorita estos hinchas cabritos hablan webadas pero ya les vas a callar cuando juegues por la selección grande cueva 😎,0,negative,train
Karen Rojas Flores .. viejos tiempos 😂😂🙈🙈🙈,1,neutral,train
Tres gallinas hablando webadas...🤫,0,negative,train
"Sacaloooo!!!!, beberán su propia chocolatadaaaaaaaaaaaaaaassss 🤮🤮🤮🤮🤮🐀🐀🐀🐀🐀",0,negative,train
Que rico cuchicanca de mi lindo Huaraz. Lo máximo!!! 😋👍,2,positive,train
Calla pelaoooo cabro SACA A PASEAR al perro inútil... La CUARENTENA. Te Está volviendo LOCA!!...  Parece mi pata Alfonso Garagorri... 🤣🤣    / Vallan aganse candadito ksm..  PERO EN SILENCIO.. peee... Marikas!   ,0,negative,train
"Hay si se quejan cuando nos roban un gol todos se unen , pero cuando nos roban la plata del estado allí si nadie se queja 🤣.",0,negative,train
"Pasa lo mismo cuando escuchas las clases virtuales o cuando grabas el video de la tarea para la profe y pasa hasta el vendedor de fruta con megáfono 🤣🤣 lleve naranjas, palta madura caseraaaa 🤣",2,positive,train
Sus brazos parecen 2 piernas de chancho 🤣,0,negative,train
"Lo estrictos que son los gringos, habrase visto",1,neutral,train
"Me encanta tu boquita de caramelo 🤤, jajaja corta el pico a tu Lora jajaja 😂😂 te pasas Naty",2,positive,train
Eso les pasa por perder con Alemania y jugar asta el pincho😅,0,negative,train
Ella le bajó el calzoncillo,2,positive,train
"Muy buen mensaje, hermanos somos todos no caigamos en el juego de los que solo buscan el poder... Agarremonos de la mano y elijan a criterio suyo con esperanza y no con odio viva la democracia, viva el Perú 🇵🇪 tierra que nos vio nacer...",2,positive,train
Papa Carlos Espinoza Romero  Soledad Vaca me ha provocado un Minpao y unos churros😊😊😊,2,positive,train
Mucho Por descubrir??? 😂 lo único que no has descubierto es lo mantenido que es tu marido que tienes que calatearte para mantenerlo a el y a tus hijos.  Xoana te revuelca,0,negative,train
Linda en cualquier situacion Regia😍,2,positive,train
"No hay una real academia peruana de jergas 😅 pero en mi concepto pituco significa: alguien que desprecia a los que no son de su clase socioeconómica, indistintamente de que carro o comida o gustos tenga.",0,negative,train
Brother Apurimac ahi caen a la Aldea de los Pitufos lleven unos buenos hongos  jajaja claro para cocinar 😎🤙,1,neutral,train
La Lorita está en todas!! 😊,2,positive,train
Esa es mi policía nacional caracho así se habla!!! ... ¡¡ Viva mi Policía!!! ¡¡¡ Viva las Fuerzas Armadas!!!👏👏👏,2,positive,train
"en el plan del tuco Castillo esta fusilar a los rosquetes ,así que BETOFILO es mejor  que te cuides...😂",0,negative,train
pero llegó la tombería,0,negative,train
Un saludo para abancay manito chinito lindo ❤️❤️❤️,2,positive,train
Un comercial y regresa La casa de Magaly 😊,2,positive,train
Luigi Sugobono Degregori points😎,1,neutral,train
Suerte cabezón (con respeto) 🤙🏻 😝,1,neutral,train
Paola Terán Vara me llevas? ☹,1,neutral,train
"El puma dijo calle San Martín, por eso la gente se pasó buscando la dirección y no fue al pasacalle.🤣🤣",1,neutral,train
Jajajaja Tobi 1 en chancarlo 🤣,1,neutral,train
Susan Santos vamos a tener que viajar a estos destinos para probar estás ricas sopas y de paso hacer turismo 😋,2,positive,train
El parche de key wan☠️☠️☠️,1,neutral,train
Ese viejo churreta de chullito rojo 🤣,0,negative,train
Ohhhh chevere esta maratón al fin algo bueno...no me la pierdo Manolo ...que tengas un viernes bendecido 🤗😘😘,2,positive,train
El internet me falla 😖,0,negative,train
"A mi me encanta tu manera de ser decida, luchadora, sabe lo que quiere,,,y si es tu manera de incentivar...bien biennn...lograste el triunfo y eso es lo que importa...a veces hay que ser duros, mucho más en los momentos que tu ve que puede perder solo por ser débiles....VAMOS PERU CARAJOOOOO..🤭🤭🤭🤭",2,positive,train
"Esa productora , más dura que poto de muñeca....🤣🤣🤣",0,negative,train
405 -Soy muy viejo,0,negative,train
Veo a tanta bestias poner esta carita 😆 en las reacciones. Son tan 💩 para olvidar esa historia y burlarse de las familias asesinadas por el terrorimo.  Son peor que basuras .,0,negative,train
A mí lo único que me dolió fue la vía 😅 y de ahí todo fresh. Creo dolor con la cesárea :),1,neutral,train
un beso para mi loco,2,positive,train
"Fuiraaaaaaaa que te crean los pulpines... te das cuenta del asco de personas que son, al tener este tipo de reacciones al ser algo natural que nació a priori, de ahora en adelante tendrán mas cuidado con sus palabras pero seguirán siendo un asco de personas... sii asco al carecer de empatía. Ni idea porque la ven pero hay mejores streamers que esta Srta. Y su flaco atorrante. ✌✌",0,negative,train
Se pone nervioso con el tío jajajjaja hasta cuando Gerardito serás así saludos broder lo estás haciendo bien el papel del.chavo jajajjaja 😂😂😂😂😂😂,0,negative,train
Çhiara que haces para producir tanta leche? Que tomas enséñanos por favor 😙😊,1,neutral,train
Yo quiero chanca buques 😉,1,neutral,train
Ale Llosa Torres ya me antoje de ese queso frito y el arroz chaufa de cecina 😍🤤,1,neutral,train
Fui un huevón,0,negative,train
"Te recuerdo con una colita,  y siempre tu mamá en una tribuna.  Una vez te vi en la iglesia virgen del Pilar en dan Isidro, tu mami entraba a la iglesia, quise saludarte me acerque al auto en el que te encontrabas, pero me dio vergüenza y me alejé. Cosas que pasan. Te admire como jugadora y ahora también como mujer y persona luchadora. Felices fiestas y mis mejores deseos para tus proyectos. 😉🐾",0,negative,train
"Luciano porfa aparte de lo delicioso 😋 de la gastronomía Peruana, el nombre de bloqueador solar please... Muchos éxitos 😁 😘 lindo #viajayprueba",2,positive,train
Lo máximo me encantan tus reportajes además verte a ti tan churro aún más ...que sigan los vídeos 😀,2,positive,train
"Un nuevo asesino como presidente del congreso, solo entre altos buitres se pueden nombrar 💩💩💩💩💩💩💩🐀🐀🐀🐀🐀🐀🐀🖕🖕🖕🖕",0,negative,train
"No llores, carajo, no llores dijo Luis Felipe",1,neutral,train
Su voz era tranquila y su gesto enérgico,2,positive,train
"Torrejitas de fideos ,una vez me quedo mucho fideo del día anterior y solo tenia camote y pechuga de pollo ,pues sancoche el camote deahilache el.pollo y los fideos en un tazón grande lo mezcle todo con huevos y a freír, fueron la sensación de lo crocantes que quedaron y el sabor del camote 👍",1,neutral,train
Team MOLLEJAS 🔥 🐥 👏🏻 ,0,negative,train
"FELIZ NAVIDAD¡ 🌲🌲🌲manolín, que lindo  detalle viniendo de tí 😂😂😂 esa voz es inconfundible la forma de cargar la mochila, tu pulserita y el reloj te delatan 😍, ahh dile a shushu que me guarde aún que sea huesito de pavo. 🦃",2,positive,train
Jhunior Jeri Orellana hay te hablan pisao... 😂😂😂,0,negative,train
Estés jueces y fiscales no sirven para nada deberían ser destituido de sus cargos  hay personas con peor delito y antecedentes a ellos si no se le toca q injusticia debería ser x igual trato lamentablemente en nuestro país existe juez corruptos 😡,0,negative,train
Lo bueno que este men pasa como las huevas con su cacharro y no importa cómo esté cambiado🤣🤣,1,neutral,train
Maisa Campos Díaz Carolina ChoyIngrid Calderón PozoFlavia Camila Florian Conder  🙊 👀 la verdad q esta  veces será diferente jajjaaja ya no más 🙈 Choy la más drástica (mmm bueno amiga son tus gustos jajaja) a veces la emoción te ciega 😂😂😂,1,neutral,train
Majestuoso Chaparri 😍 recomendado 👌👌,2,positive,train
En polvos ayer pregunté y mínimo está 650🥺😥,1,neutral,train
Q regia.... Estás divina👍👍👍🎉🎉🎈🎈😁😁🥰,2,positive,train
Stevens Marallana  háblale a tu cumpita sino lo van a mandar a dormir al.sillon de nuevo.... Pensando  🤣,1,neutral,train
"Que lindo reportaje interesante !!!! Esas plantas podadas están hermosas, yo quiero una foto con los dinosaurios jijijijiji como te envidio Manolo !!!!😄😄😊😊😘",2,positive,train
"A este payaso de bruters ni con manzanitas le hacen entender, ya esta quemado🐁🐁🐁",0,negative,train
Empujate primero el platano para que entre suavesiiiiiito jajaja 🤣🤣😂😂😂😂😂😂,1,neutral,train
Come no más Manolín! Sino te cae tu tas tas! 😂😂😂,1,neutral,train
Ese Miguelito como la cagada ah 😅😅😅,0,negative,train
"Saca la  vuelta chancho rctm,😜",0,negative,train
Su padrastro sacó su cuchilla y él la suya,0,negative,train
Un lapo tirenlo 😂😂😂😂,0,negative,train
Tmre no me iba a reir pero no se apagaron las chispas 😔,0,negative,train
Pues se aguanta porq esta en la calle no tiene privacidad al se figura publica  o cosa 🤔  asta q llege a su casa   ya descansará y mandara maldesira y todo mientras estando wn la calle se aguanta,0,negative,train
"Beto acéptalo, ya fuiste 🙂 ya te va a tocar 🙂",0,negative,train
Deberia de botarlo a ese policia mediocre 😡😡,0,negative,train
Pablito vuelve a combate 😊😊😊,2,positive,train
"Gracias Natalia! Hermoso recuerdo de un gran equipo y la gata Cervera en todo su esplendor, que Dios la tenga en su santa gloria. 💜🙏💜",2,positive,train
Arriba mi alianza Lima este año campeonaremos y haremos una buena libertadores cayense pavos y gallinas 😠😠,0,negative,train
Solo eso ?? Quede así🤡 mi ex duro más que este avance 🤣🤣🤣,0,negative,train
"Chaucito, pues, mami, come rico, ¿ya? Chau, chau",2,positive,train
Ronald Alex Marchan Calderon  jajaja la cgda el tobi se convierte en super sayayin 🤣🤣,1,neutral,train
"Con 5 soles en traigo tres litros de caña pura jejejeje, si hasta en más wbds en otro países porque 5 Lucas 🤣🤣🤣🤣",0,negative,train
Ojala q lo saquen y deja de decir por hacer su trabajo no quieras engañar porque este colchado tiene mucha cola q le pisen y hizo abuso de autoridad dentrando al palacio presidencial y haciendo el trabajo del q le encomiendaron la derecha cavernaria 🤬 😡,0,negative,train
"Mi gran respeto  y admiración para cachay,  de razón ganamos la guerra 👍🤣",2,positive,train
El 1er puesto me hizo cagar de risa 🤣🤣🤣,2,positive,train
Porque tuvo mas huevos que tu ps Beto 🙄 En vacunarse 🤭,0,negative,train
no tenía tiempo para huevadas,0,negative,train
Más bien.. Anda viendo a cual de tus escondrijos iras esta ves a comerte las 🐀🐀🐀 oeeee 🐖 come pirañas,0,negative,train
Que malos el cacho se pasó y el otro viejo atorrante 😡😡😡,0,negative,train
"Jajajaja...q les toque gemelitas ,🤣👍🙆",1,neutral,train
Siiii Liz Gwynn Gomez es mi Distrito #MiqueridoMALACITY Tamales chicharrones playita en el Sur❤😍🥰,2,positive,train
Acaso soy el único que le hizo parecido al flow de Paulo. 🤔,1,neutral,train
Edinson Santamaria bien ahí manito 🤣🤣🤣🤣🤣,2,positive,train
Estos miserables delincuentes deberían botarlo del País sólo cansan temor a los ciudadanos no pueden vivir en Paz con.o nos merecemos 😡😡leyes d . M. Que apañan todo,0,negative,train
"El Chipro lo sintió, después Chauca y el Iño",1,neutral,train
Mira quien habla 🤔🤔😡el viejo dictador y corrupto .... CANIBAL SIGUE INSITANDO A LA VIOLENCIA 😡😡😡,0,negative,train
Yosselin Alhuay pichoooonnnn  recuerdas en Maroma electrónica hasta las 12 y te achoraste con todo y fuiste a gomearle al dj  para que ponga regueton  🤣😂😂😂que buenaaaaa!!,2,positive,train
😂😂eres una capo pelon 😂,2,positive,train
Hubiera  preferido que revivieran  a  Mariano pendeivis 🙄,0,negative,train
"DEJEN ESTÁS BABOSADAS INSTRUYAN SÉ, ES POR ÉSA RAZÓN QUE ÉL PERÚ ESTÁ COMO ESTÁ LLENO DE 🐀 🐀 🐀 FUJIMORISTAS Y PRENSA MERMELERA 💩💩💩💩💩💩💩",0,negative,train
Para sus negociados está sanita 😆😝,1,neutral,train
si los conosco pero nunca los e probado 🤔🤔,1,neutral,train
Diana yaa ps otro como tú si habra .. Como ese telo noooo 😂😆🤣... El novio dice tu ya fuiste dejate de huevadas.... Soy una Ximenita 😂😂😂😂,0,negative,train
M Rosalía Arenas Garcia mañana mamita su arroz con chancho 😋,2,positive,train
"No hay quimica y ese cubano cree que es salsa lo q esta cantando!! Wacala!! Esta pal tacho este duo!! 😲 el q le guste esta interpretacion no tiene oido musical, ellos cantan individualmente, no hay tecnica!! Todo armany 😂",0,negative,train
Tmr quería ver la entrevista 😒 pinches serenos,0,negative,train
Falto el pollito a la brazo ya que yo no ecomido como enchiclayo un pollito tan delicioso en otros lugares y también faltó el champú con cachanguitas delicioso 😋😋,2,positive,train
"Creo que hackie facebook, puedo atrasar y pausar el directo 👀 debe estar bugueado xd",0,negative,train
Hay está la concencuencia de botar por ese 🐖🐖🐖  que se quejan a llorar al río 👍👍👍 ese sr esta en otro planeta no vee la realidad 👍👍,2,positive,train
Jajajajaa los esperamos pokemones jajaaa ptmre 🤣,0,negative,train
Aldhaiir Contreras Bzrp flow🎶🎶,1,neutral,train
Ella García G Valeria Lecaros🙄 una chiqui egain?😂😂,0,negative,train
"Malditas LACRAS deben chaparlos y meterlos bien presos.... vienen de otro país a hacer esto, no pues ya basta!!!! 😡😡😡",0,negative,train
Hablen de la Sudamérica par de cabros. 🤣😂,0,negative,train
"Señor Beto buenas noches, no morirían si se les dieran LA IVERMECTINA Y EL. DIOXODO DE CLORO, ESTA COMPROBADO MIRE ESTO, NO HABRIA MÁS MUERTES POR FAVOR INVESTIGUE ‼️  https://youtu.be/LhoDhGYFQrM",1,neutral,train
Ajaajja los especiales andan calatos 🤣🤣,0,negative,train
Lucero 🙊 tenemos que probar un chaufa así porfi 😫,1,neutral,train
Meritxell Andrea Blas el calientito!!! 😅,1,neutral,train
Majo Lecaros Miguel Zapata Recordar es volver a vivir... sale nuestro anfitrión! Sigue tan buena onda como siempre!! Quiero repetir 😭,2,positive,train
Fuera de eso porque tiene que poner sus sillas en la calle y creerse dueños del mismo 🤷‍♂️ donde está la municipalidad de san isidro eso es factible a los demás negocio por todo los fiscalizan pero ellos se adueñan de las. Vereda y no pasa nada,1,neutral,train
A todos los q dicen q esta chica q Beto pone tonterías q el Perú profundo bla bla ...todos somos Perú no importa donde diablos naciste si esto no lo entiendes es por q eres un bruto o ers terruco miserable comunista 😡CASTILLO TERRUCO ..COMUNISTAS MISERABLES sin tanto les gusta larguense del país tienen Venezuela y Cuba Bolivia a escoger..no c trata d keiko c larga en 5 años pero estos comunista terrucos nunca ..limitados mentales,0,negative,train
Gabriel Guzmán Chauca donde quedo el amor de los primeros meses 😕,0,negative,train
"Poyuelo, palteen, palidon, huevereques. De donde este infeliz que maltrata nuestro idioma. Por eso en el mundo nos ven como unos mal hablados, pirañas ignorantes. Semejante viejo hablando estupideces e imitando a los adolecentes sin educación. 🤦🏻‍♀️",0,negative,train
Buenas tardes mi comanche ratamanche 😗,1,neutral,train
26 y me pinto el pelo morado porfa nunca me gano nada 💜💜💜💜🌈🌈🌈🌈🌈,1,neutral,train
"Creo que se pico porque no acababa su programa a la hora exacta 9:55 y Beto hizo un comentario, después Leiva ya no quiso mencionarlo, la mayoría termina peleando con Leiva que raro 🤔🤔🤔",0,negative,train
Gianina Quintanilla Milagros Villena Avila vamos un finde? 😊😊,2,positive,train
Yo uso el color negro - caida resist 😄😄😄,1,neutral,train
"Estos soberbios se olvidan que solo hay un TRICAMPEÓN, perfil bajo siempre ¡VAMOS UNIVERSITARIO! 💛",0,negative,train
Angie Mori Mosh  hermoso canguro para nuestro viaje ❤️,2,positive,train
Ese cobos es el mas ganao...tan q le pelan la caña✌,2,positive,train
Pero sin embargo la ley  es clarito y ahora indemnización para yenifer porque los corruptos obstruccionistas están  inventando todo tienen fiscales jueces corruptos. 😡,0,negative,train
Gisela AMuñoz para cuando me quieras jalar por allá 😋,1,neutral,train
Carol Sandy Milagros Abigail Lucas vamoos de visitaaa 😎😂,1,neutral,train
"Movía mi pelota, flaco",2,positive,train
Bien Nicola fuiste el mejor de LCDLFM tienes chispa y carisma Bravo 👏👏👏👏❤️🇵🇪🇮🇹,2,positive,train
Ese es marciano? O burro ... Tan bonita la moto ... 😡 Jajaja,0,negative,train
