text,text_clean,label,label_name
"Solo veo copa libertadores , no equipo de media tabla para abajo pedorros🤮🤮🤮","Solo veo copa libertadores , no equipo de media tabla para abajo pedorros🤮🤮🤮",0,negative
Que comes mañoso 😍😍😍😍saludos de México te extrañamos ❤️❤️❤️❤️❤️❤️❤️❤️,Que comes mañoso 😍😍😍😍saludos de México te extrañamos ❤️❤️❤️❤️❤️❤️❤️❤️,2,positive
"Tranquilo chato, guarda con el bobo 🤣🤣🤣","Tranquilo chato, guarda con el bobo 🤣🤣🤣",1,neutral
Parece un lobo marino 😸😝😃🤣,Parece un lobo marino 😸😝😃🤣,0,negative
"Toda la razón a CHIBOLIN, lo mismo dijo NATALIA MALAGA: cosetela y la gente de cristal se ofendió, como ahora. que abusiva y de diferentes gallos por DIOS uno debe ser reponsable, si hay la posibilidad Bienvenidos sean. Pero no a dar lástima, pedir ayuda luegos esas madres son los que llenan el poder judicial con denuncias de alimentos, los hijos futuros pirañas (BRAYAN, KEVIN, BRANDO, BRITANY, KIMBERLY, ) Full perreo en las mototaxis y reproduciendose nuevamente, en conclusión se repite el ciclo. 🤦🏻🤦🏻🤦🏻🤦🏻🤦🏻🤦🏻","Toda la razón a CHIBOLIN, lo mismo dijo NATALIA MALAGA: cosetela y la gente de cristal se ofendió, como ahora. que abusiva y de diferentes gallos por DIOS uno debe ser reponsable, si hay la posibilidad Bienvenidos sean. Pero no a dar lástima, pedir ayuda luegos esas madres son los que llenan el poder judicial con denuncias de alimentos, los hijos futuros pirañas (BRAYAN, KEVIN, BRANDO, BRITANY, KIMBERLY, ) Full perreo en las mototaxis y reproduciendose nuevamente, en conclusión se repite el ciclo. 🤦🏻🤦🏻🤦🏻🤦🏻🤦🏻🤦🏻",0,negative
Hasta los Chibolos se prestan para joderlo. 😎😎😎😂😂,Hasta los Chibolos se prestan para joderlo. 😎😎😎😂😂,2,positive
Felicidades Misias❤ . comprare sus polos y  revender al misio tacaño de mi esposo ❤❤,Felicidades Misias❤ . comprare sus polos y revender al misio tacaño de mi esposo ❤❤,0,negative
Pues Viaja y Prueba en Nicaragua 😃😃,Pues Viaja y Prueba en Nicaragua 😃😃,1,neutral
Katerin chicha de quinua 😍,Katerin chicha de quinua 😍,2,positive
Una raya mas al tigre...el SOMBRERO LUMINOSO es un rosario de mentiras...Que decepcion para los ILUSOS que confiaron en SU PALABRA DE MAESTRO.  ...Que sigan los DESTAPES...con tantas rayas PRONTO el burro sera CEBRA!😂😅😅,Una raya mas al tigre...el SOMBRERO LUMINOSO es un rosario de mentiras...Que decepcion para los ILUSOS que confiaron en SU PALABRA DE MAESTRO. ...Que sigan los DESTAPES...con tantas rayas PRONTO el burro sera CEBRA!😂😅😅,0,negative
Pica Pica ton ton ton 😄  Juan Antonio Lizana Vara Geraldine Lopez Ivonnee Castañeda Stephanny Castañeda Elena Conny Franco Silva,Pica Pica ton ton ton 😄 Juan Antonio Lizana Vara Geraldine Lopez Ivonnee Castañeda Stephanny Castañeda Elena Conny Franco Silva,1,neutral
"Jajajajaja siempre va a rajar la gente, pero ...  Que digan lo que quieran de mi 🎶🎵😂😂","Jajajajaja siempre va a rajar la gente, pero ... Que digan lo que quieran de mi 🎶🎵😂😂",1,neutral
Karen Echenique Peñaloza cuando toca pagar JAJAJAJA vamos ps 😢,Karen Echenique Peñaloza cuando toca pagar JAJAJAJA vamos ps 😢,2,positive
"Esta hasta el culantro, 😅","Esta hasta el culantro, 😅",0,negative
Me gusta mas el ceviche ecuatoriano... Lo siento ese.pescado crudo no me lo como 😷,Me gusta mas el ceviche ecuatoriano... Lo siento ese.pescado crudo no me lo como 😷,0,negative
"Es de risa,pero ese Castillo es un representante  de Sendero Luminoso, si gana este Polpotiano de los Andes,derrepente lo pone a Abimael Guzman de Embajador en la China....😱😱❌👎","Es de risa,pero ese Castillo es un representante de Sendero Luminoso, si gana este Polpotiano de los Andes,derrepente lo pone a Abimael Guzman de Embajador en la China....😱😱❌👎",0,negative
"Carlos Cieza fueron a nuestro lugar caleta 😍😋 ""El Colorao"". Será motivo de reservar 😊","Carlos Cieza fueron a nuestro lugar caleta 😍😋 ""El Colorao"". Será motivo de reservar 😊",2,positive
Chino risas sin el mostrito y el marcianito no pasa nada 💯💯💯💯💯💯💯💯💯💯,Chino risas sin el mostrito y el marcianito no pasa nada 💯💯💯💯💯💯💯💯💯💯,2,positive
UD. Natalia Málaga siempre dejando huella...Lo Máximo❤️,UD. Natalia Málaga siempre dejando huella...Lo Máximo❤️,2,positive
Totalmente profesional Hermano !!!! Felicitaciones!!!! Arriba Perú 💯🏆🥇😎,Totalmente profesional Hermano !!!! Felicitaciones!!!! Arriba Perú 💯🏆🥇😎,2,positive
Disculpe porque july no es de Perú 🇵🇪 mírenlo pintado de cara Austria 🇦🇹🤦‍♂️,Disculpe porque july no es de Perú 🇵🇪 mírenlo pintado de cara Austria 🇦🇹🤦‍♂️,1,neutral
Tomó su colectivo a Lima a pesar de mis órdenes,Tomó su colectivo a Lima a pesar de mis órdenes,1,neutral
Por fin se le salio la hinchada... ya era tiempo osores q dejes de florear q eres hincha del muni...😂🤣,Por fin se le salio la hinchada... ya era tiempo osores q dejes de florear q eres hincha del muni...😂🤣,0,negative
La firme es duro pero correcto y uno al pedir ayuda se atiene a lo que le vayan a decir y si firmas por un programa publico ya sabes lo que pasará 🤙,La firme es duro pero correcto y uno al pedir ayuda se atiene a lo que le vayan a decir y si firmas por un programa publico ya sabes lo que pasará 🤙,0,negative
"Que parte de la selva es?🌞🌞🌞💧💧🌺🌴🍃🌾🌷🍹🐝🐞;pura vegetacion,soy de Chanchamayo y es lo maximooo...","Que parte de la selva es?🌞🌞🌞💧💧🌺🌴🍃🌾🌷🍹🐝🐞;pura vegetacion,soy de Chanchamayo y es lo maximooo...",2,positive
"Yo sé, mi amor, tu papá es una bestia machista ","Yo sé, mi amor, tu papá es una bestia machista",0,negative
En Ingenio trucha a la parrilla buenaza! Y en Churin ceviche de trucha para que te cuento..viaja y prueba 😊,En Ingenio trucha a la parrilla buenaza! Y en Churin ceviche de trucha para que te cuento..viaja y prueba 😊,2,positive
",Mabel Milla 🤣🤣 Tanto Tu en los Tonos 🤣 JAJAJA 😎",",Mabel Milla 🤣🤣 Tanto Tu en los Tonos 🤣 JAJAJA 😎",2,positive
"Hola chicos, en el centro les falto para el almuerzo  restaurante El Fayke Piurano (Leche de tigre y su chaufa de pescado) y el clásico Manhattan (el lomo saltado es buenazo). Ya si hacen un tour de noche, no pueden dejar de visitar el Bar Múnich (chelas artesanales y salchipapa) y El Estadio (Arroz con pollo y chelas). Como siempre, los sigo. Buena vibra! 😉🇵🇪😊","Hola chicos, en el centro les falto para el almuerzo restaurante El Fayke Piurano (Leche de tigre y su chaufa de pescado) y el clásico Manhattan (el lomo saltado es buenazo). Ya si hacen un tour de noche, no pueden dejar de visitar el Bar Múnich (chelas artesanales y salchipapa) y El Estadio (Arroz con pollo y chelas). Como siempre, los sigo. Buena vibra! 😉🇵🇪😊",2,positive
"Osea Montesinos y Fujimori hicieron campaña de desprestigio contra él que lo marcaron toda su vida, pero ahora años después se dedica a defender al fujimorismo de manera profesional? 😂","Osea Montesinos y Fujimori hicieron campaña de desprestigio contra él que lo marcaron toda su vida, pero ahora años después se dedica a defender al fujimorismo de manera profesional? 😂",0,negative
Solo gente fiel? Pucha ya fue 😞,Solo gente fiel? Pucha ya fue 😞,0,negative
"A través de tus experiencias, nos enseñas mucho de diferentes temas, eres un hombre culto, muy curioso de lo desconocido pero sobre todo muy  compartido, que siempre te desprendes de toda esa sabiduría adquirida para enseñarnos con hermosas e interesantes historias tus vivencias. Eso demuestra la sencillez y calidad de persona que eres, muy admirable, sigue así.   Mmmm y que tipo de cuchillos piensas comprar, y esas espadas samurái son lo máximo, solo las vi en las películas, una de adorno te tendrás que traer. 😉","A través de tus experiencias, nos enseñas mucho de diferentes temas, eres un hombre culto, muy curioso de lo desconocido pero sobre todo muy compartido, que siempre te desprendes de toda esa sabiduría adquirida para enseñarnos con hermosas e interesantes historias tus vivencias. Eso demuestra la sencillez y calidad de persona que eres, muy admirable, sigue así. Mmmm y que tipo de cuchillos piensas comprar, y esas espadas samurái son lo máximo, solo las vi en las películas, una de adorno te tendrás que traer. 😉",1,neutral
En tu pepa se van a kgar??? 👍💤,En tu pepa se van a kgar??? 👍💤,0,negative
Susan Marabotto versión enchuladita que va a quedar cañón 😂😂😂.  Se ve riquísimo! Saludos 🤗,Susan Marabotto versión enchuladita que va a quedar cañón 😂😂😂. Se ve riquísimo! Saludos 🤗,2,positive
GPRDO IMBECIL( PARA CON ESOS MOGOZOS BORRACHOS  Y LE AGARRAN DE PUNTO 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔,GPRDO IMBECIL( PARA CON ESOS MOGOZOS BORRACHOS Y LE AGARRAN DE PUNTO 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔,0,negative
Mi ex.esposo es un periodista ya de años trabajo en Atv y nunca olvidare que nos cruzamos con Henry saliendo del cine y muy amable se le acerco a darle la mano ..Conocí a un Henry muy tímido pero educado . Ojala y ganes ese premio✌✌✌✌⭐⭐⭐,Mi ex.esposo es un periodista ya de años trabajo en Atv y nunca olvidare que nos cruzamos con Henry saliendo del cine y muy amable se le acerco a darle la mano ..Conocí a un Henry muy tímido pero educado . Ojala y ganes ese premio✌✌✌✌⭐⭐⭐,2,positive
Envés de periodista tenemos a una mermelera de abogada que defiende con el hígado y la aceitada que le dan a esta calabaza que le hablan por audífonos no tiene ni vergüenza hacer el periodismo de defender lo indefendible ella no entiende es calabaza 🎃 por eso sigue al frente de la televisión,Envés de periodista tenemos a una mermelera de abogada que defiende con el hígado y la aceitada que le dan a esta calabaza que le hablan por audífonos no tiene ni vergüenza hacer el periodismo de defender lo indefendible ella no entiende es calabaza 🎃 por eso sigue al frente de la televisión,0,negative
Ese caldo de gallina se veia buenaaaaaaaazoooo!!! 😂,Ese caldo de gallina se veia buenaaaaaaaazoooo!!! 😂,2,positive
Ala firme le dare mi voto a ella pa no jodas 🤣,Ala firme le dare mi voto a ella pa no jodas 🤣,0,negative
"Jajajaja pulpina,  das risa.  😅😅🤦","Jajajaja pulpina, das risa. 😅😅🤦",0,negative
"Me encantó, unos tromes 👏🏻👏🏻👏🏻👏🏻","Me encantó, unos tromes 👏🏻👏🏻👏🏻👏🏻",2,positive
Cómo puedo ver Willax por Facebook please no tengo cable 😭,Cómo puedo ver Willax por Facebook please no tengo cable 😭,1,neutral
Con tan poco y con la hermosura de la naturaleza se puede ser tan felizzzz al principio pensé q filmarian una peli de rambo🤭 felicidades chevere tan naturales hermoso me re re encanto😜🤗🤗,Con tan poco y con la hermosura de la naturaleza se puede ser tan felizzzz al principio pensé q filmarian una peli de rambo🤭 felicidades chevere tan naturales hermoso me re re encanto😜🤗🤗,2,positive
Estos tucos si que se camuflaron bien para llegar al poder ...no tendría que sorprender si gana el lapicito ya que estamos en perulandia🤦🏻‍♀️,Estos tucos si que se camuflaron bien para llegar al poder ...no tendría que sorprender si gana el lapicito ya que estamos en perulandia🤦🏻‍♀️,0,negative
"Vinimos al instante, casi choco en la Costanera","Vinimos al instante, casi choco en la Costanera",1,neutral
"el ""gracias comprados"" le dio el toque ante todo el respeto🧐","el ""gracias comprados"" le dio el toque ante todo el respeto🧐",2,positive
Pero q cuente todo completo pues no a medias no sea q le salga un videito y los dejé mal parados 😊😊😊,Pero q cuente todo completo pues no a medias no sea q le salga un videito y los dejé mal parados 😊😊😊,2,positive
Visita a Grifo's Flotante Cecilia también será muy buena experiencia 😄😊👌,Visita a Grifo's Flotante Cecilia también será muy buena experiencia 😄😊👌,2,positive
Ese mango con albahaca apuntado para este finde! 🎉,Ese mango con albahaca apuntado para este finde! 🎉,2,positive
habla vamos 😁😁,habla vamos 😁😁,2,positive
Pide disculpa ala chelas mejor jajaja 😀,Pide disculpa ala chelas mejor jajaja 😀,1,neutral
"Qué chûch@ tienen en el cerebro tiene un error, y? Porque no puede prender stream, sí  ella genera dinero con los streams vagos ©TM®. No escuchas su voz, siempre es alegré, pero ahora está triste y hasta puede llorar. Por unos ineptos. Ahora muchos ""me enoja"" de personas sin empatía. Fuerza japeruana! ❤️ Eres muy hermosa para estar mal.","Qué chûch@ tienen en el cerebro tiene un error, y? Porque no puede prender stream, sí ella genera dinero con los streams vagos ©TM®. No escuchas su voz, siempre es alegré, pero ahora está triste y hasta puede llorar. Por unos ineptos. Ahora muchos ""me enoja"" de personas sin empatía. Fuerza japeruana! ❤️ Eres muy hermosa para estar mal.",2,positive
Saludos Cholo desde Chiclayo ✌,Saludos Cholo desde Chiclayo ✌,2,positive
Los ricos picarones delicioso 😋 desde Perú picarones peruanos,Los ricos picarones delicioso 😋 desde Perú picarones peruanos,2,positive
Super divertido ablen más de la mota❤️,Super divertido ablen más de la mota❤️,2,positive
😱 uy! Ignoraba esa Información.. Hugo Portilla cheka!! 👀,😱 uy! Ignoraba esa Información.. Hugo Portilla cheka!! 👀,1,neutral
"Yo eligo y uso el DORADO,🎉 tengo un balayage y ese producto me lo deja muy suave y brillante  Sus productos son buenisimos!!! ❤️","Yo eligo y uso el DORADO,🎉 tengo un balayage y ese producto me lo deja muy suave y brillante Sus productos son buenisimos!!! ❤️",2,positive
La verdad que pena x todo está gente con versando con los terrucos 😠😭😭😭 Hasta donde vamos a llegar.,La verdad que pena x todo está gente con versando con los terrucos 😠😭😭😭 Hasta donde vamos a llegar.,0,negative
Estéfano Sergio Mi Camote? 🤔,Estéfano Sergio Mi Camote? 🤔,1,neutral
Gabriel Campos Jurado vaos a pata como debe d ser!!❤,Gabriel Campos Jurado vaos a pata como debe d ser!!❤,2,positive
"Al único desesperado que veo es a ti, ya anda buscando donde esconderte nomás 🤣🤣🤣","Al único desesperado que veo es a ti, ya anda buscando donde esconderte nomás 🤣🤣🤣",0,negative
Hay beto.aveces me das colerina😠aveces me acs reir 😊.pero noo se porq me gusta verte😂.solo seeee sincero ok.noo teee vendas al mejor postor 😈.habla loq es y critica cuando tengas q criticar ok.ok.ok.....,Hay beto.aveces me das colerina😠aveces me acs reir 😊.pero noo se porq me gusta verte😂.solo seeee sincero ok.noo teee vendas al mejor postor 😈.habla loq es y critica cuando tengas q criticar ok.ok.ok.....,0,negative
"Xoana es Hermosa, perfecta.... Y la chueconaaaaa❓❓🌹🥰 Es buena Cómica y me da risa🤭🤭🤭","Xoana es Hermosa, perfecta.... Y la chueconaaaaa❓❓🌹🥰 Es buena Cómica y me da risa🤭🤭🤭",2,positive
"Daphne mira amor, deberia aprender a preparar ceviche para cocinarte ☺. Tambien habla de dos platos mas, que son leche de tigre y chilcano, para chuparse los dedos 😅","Daphne mira amor, deberia aprender a preparar ceviche para cocinarte ☺. Tambien habla de dos platos mas, que son leche de tigre y chilcano, para chuparse los dedos 😅",2,positive
FUJIRATASSSSS HDPPP  MISERABLESSSSS VENDE PATRIASSS..!!! SIGUEN CON HAMBRE DE PODER..!!!  BASTA DE DESESTABILIZAR  AL PAIS..!!!!!COLUDIDA CON LA.PRENSA BASURAAAA.!!🤛🏻🤛🏻😡😡💪🏻🇵🇪🇵🇪🇵🇪😡😡💪🏻💪🏻💪🏻 REGALANDO LAS CONCESIONES  A LAS TRANSNACIONALES  ..!! GAS Y PETROLEO...!!! APRUEBEN LAS LEYES DEL EJECUTIVO  Q LO TIENEN AHY VOTADASSSS HDPP.!!!QUIEREN SEGUIR C0N EL PLAN MAQUIAVELO  ..!! DE DAR EL.GOLPE KKONGRESALLL..!!! SUPERAAA LA DERROTAAAA HDPPP VENDE PATRIASS.!!! Y 🇵🇪😡😡😡😡🤛🏻🤛🏻💪🏻💪🏻🇵🇪🇵🇪💪🏻 EM PUEBLOO  LOS REPUDIAAA  RATASSSSS I NMUNDAS...!! SAQUEADORES  ESTAN ATROPELLANDL  LA CONSTITUCIÓN  ...!!!! LACAYOSS MECHADOS...!!!!! NO ALA BICAMERALIDAD......!!! CIERRE DEL.KKONGRESOOO KORRUPTO.. FUJIRATAS Y ALIADOS MISERABLESS..!!! HDPPP..!!!🇵🇪🇵🇪🤛🏻🤛🏻😡😡😡💪🏻💪🏻💪🏻💪🏻💪🏻,FUJIRATASSSSS HDPPP MISERABLESSSSS VENDE PATRIASSS..!!! SIGUEN CON HAMBRE DE PODER..!!! BASTA DE DESESTABILIZAR AL PAIS..!!!!!COLUDIDA CON LA.PRENSA BASURAAAA.!!🤛🏻🤛🏻😡😡💪🏻🇵🇪🇵🇪🇵🇪😡😡💪🏻💪🏻💪🏻 REGALANDO LAS CONCESIONES A LAS TRANSNACIONALES ..!! GAS Y PETROLEO...!!! APRUEBEN LAS LEYES DEL EJECUTIVO Q LO TIENEN AHY VOTADASSSS HDPP.!!!QUIEREN SEGUIR C0N EL PLAN MAQUIAVELO ..!! DE DAR EL.GOLPE KKONGRESALLL..!!! SUPERAAA LA DERROTAAAA HDPPP VENDE PATRIASS.!!! Y 🇵🇪😡😡😡😡🤛🏻🤛🏻💪🏻💪🏻🇵🇪🇵🇪💪🏻 EM PUEBLOO LOS REPUDIAAA RATASSSSS I NMUNDAS...!! SAQUEADORES ESTAN ATROPELLANDL LA CONSTITUCIÓN ...!!!! LACAYOSS MECHADOS...!!!!! NO ALA BICAMERALIDAD......!!! CIERRE DEL.KKONGRESOOO KORRUPTO.. FUJIRATAS Y ALIADOS MISERABLESS..!!! HDPPP..!!!🇵🇪🇵🇪🤛🏻🤛🏻😡😡😡💪🏻💪🏻💪🏻💪🏻💪🏻,0,negative
"Gareca tampoco hizo nada peor los jugadores son desordenados solo ven juerga ,mujeres perdición ellos no son jugadores profesionales solo son puros mediocres no tienen ni la más mínima idea de lo que es amar a tu país 🇵🇪 de verdad.","Gareca tampoco hizo nada peor los jugadores son desordenados solo ven juerga ,mujeres perdición ellos no son jugadores profesionales solo son puros mediocres no tienen ni la más mínima idea de lo que es amar a tu país 🇵🇪 de verdad.",1,neutral
"Entetrenido 🤣,igual q el chavo del 8,poprina! Su gran sueño? Asu flaca que sueños de mie... Tienes!","Entetrenido 🤣,igual q el chavo del 8,poprina! Su gran sueño? Asu flaca que sueños de mie... Tienes!",0,negative
"Este fujimorista habla de valores ,pero ya te olvidaste que tu también fuistes procesado por violación de menores de edad(archivado )...por favor ahora cierra el pico y deja que el gobierno realice  su trabajo y no  estés fomentando con tu popularidad que deben ser liberados a criminales,ahhh lo dicho en el video todos sabemos que te la  envió tu amiga KEIKO 🤷‍♂️🤷‍♂️🤷‍♂️😂😂😂😂TODOS SON DE LA MISMA CALAÑA 🙄🙄🤷‍♂️","Este fujimorista habla de valores ,pero ya te olvidaste que tu también fuistes procesado por violación de menores de edad(archivado )...por favor ahora cierra el pico y deja que el gobierno realice su trabajo y no estés fomentando con tu popularidad que deben ser liberados a criminales,ahhh lo dicho en el video todos sabemos que te la envió tu amiga KEIKO 🤷‍♂️🤷‍♂️🤷‍♂️😂😂😂😂TODOS SON DE LA MISMA CALAÑA 🙄🙄🤷‍♂️",0,negative
Jajajajajajaja!! Que buena Maria Pia Copello !!! Una ama de casa super cool!!!! 😎😎😎😎😎,Jajajajajajaja!! Que buena Maria Pia Copello !!! Una ama de casa super cool!!!! 😎😎😎😎😎,2,positive
siempre que voy desde mi jato al estadio me lo pongo,siempre que voy desde mi jato al estadio me lo pongo,1,neutral
Que 😋 😋 ricos picarona muchas gracias por compartir un abrazo.,Que 😋 😋 ricos picarona muchas gracias por compartir un abrazo.,2,positive
"Si ya sabe que cristobal es inalcanzable, porqué sigue con los Maldini!!!!  Yuli arrastrada.  Mejor que se largue a trabajar a otro lado 😠 boten a yuli cae chinche","Si ya sabe que cristobal es inalcanzable, porqué sigue con los Maldini!!!! Yuli arrastrada. Mejor que se largue a trabajar a otro lado 😠 boten a yuli cae chinche",0,negative
"La chicoteca ptmr🤣  Tobi ptmr tal cual los paseos ptmr, ese profe cagón que se quedaba con los tragos","La chicoteca ptmr🤣 Tobi ptmr tal cual los paseos ptmr, ese profe cagón que se quedaba con los tragos",0,negative
K ridículo k la chica le puso el teléfono en la cara  eso es mentiras  bobo deje de decir pendejadas  🤮🤮,K ridículo k la chica le puso el teléfono en la cara eso es mentiras bobo deje de decir pendejadas 🤮🤮,0,negative
"Aburre el personaje de Macarena, 👎🏻👎🏻 mándenla de viaje para siempre a otro país o que aparezca Claudia y la mande a dormir 🤣🤣","Aburre el personaje de Macarena, 👎🏻👎🏻 mándenla de viaje para siempre a otro país o que aparezca Claudia y la mande a dormir 🤣🤣",0,negative
"Me gusta el combinado de caldo de gallina con mote, solo para conocedores!! Aa y su inseparable canchiitaaa! 😁","Me gusta el combinado de caldo de gallina con mote, solo para conocedores!! Aa y su inseparable canchiitaaa! 😁",2,positive
LOS PERIODISTAS TAMBIÉN SON COMO LAS VIEJAS CHISMOSAS O ME VAS A DECIR LO CONTRARIO 🤪,LOS PERIODISTAS TAMBIÉN SON COMO LAS VIEJAS CHISMOSAS O ME VAS A DECIR LO CONTRARIO 🤪,0,negative
Alexandra Gonzales aprende del chocho 😤😤😤,Alexandra Gonzales aprende del chocho 😤😤😤,0,negative
Maud en que epoca me recomiendas visitar huancaya? Me encantaria nadar sin pelarme tanto de frio 💖 espero me contestes! Amo tus videos. Vibrasas!,Maud en que epoca me recomiendas visitar huancaya? Me encantaria nadar sin pelarme tanto de frio 💖 espero me contestes! Amo tus videos. Vibrasas!,2,positive
Y porq podrá ser congresista a lo q tu amiga la care macho no 🤣🤣,Y porq podrá ser congresista a lo q tu amiga la care macho no 🤣🤣,0,negative
"Si es cierto que alianza fue el peor de la libertadores, pero un burro ablando de orejas eso sí es peor🤣🤣 así como alianza es el peor , Bazán tbn fue un fracaso de jugador🤣🤣 por eso se retiró , hasta chiquito flores es mejor q ese fracasado 🤣🤣🤣","Si es cierto que alianza fue el peor de la libertadores, pero un burro ablando de orejas eso sí es peor🤣🤣 así como alianza es el peor , Bazán tbn fue un fracaso de jugador🤣🤣 por eso se retiró , hasta chiquito flores es mejor q ese fracasado 🤣🤣🤣",0,negative
Toqué la campana,Toqué la campana,1,neutral
"Ese TOMBITO habla piola, PERO LA VERDAD LA POLICÍA EN UN 80 % PURAS.🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀💩💩💩💩💩💩💩💩💩🐀🐀","Ese TOMBITO habla piola, PERO LA VERDAD LA POLICÍA EN UN 80 % PURAS.🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀💩💩💩💩💩💩💩💩💩🐀🐀",0,negative
"Esta mafiaaa, sicaría de nunca acabar. Es alcolmo día y noche la misma porquería hablando 😑 no hay un mínimo respeto al Peruano, 🤷 respeto señores, corruptos periodistas. Se llevan el dinero, de todos los peruanos, fácilmente. Hablando falsedades jamás se va creer prensa corrupta,  basura 🗑 😡","Esta mafiaaa, sicaría de nunca acabar. Es alcolmo día y noche la misma porquería hablando 😑 no hay un mínimo respeto al Peruano, 🤷 respeto señores, corruptos periodistas. Se llevan el dinero, de todos los peruanos, fácilmente. Hablando falsedades jamás se va creer prensa corrupta, basura 🗑 😡",0,negative
Sabía que el clima en Lima había cambiado.. Pero para ponerse ropa así.??? ...y que tiene en el cuello???.. Y el. Maquillaje.. 🤭... Sin ofender pero parece dark Queen...,Sabía que el clima en Lima había cambiado.. Pero para ponerse ropa así.??? ...y que tiene en el cuello???.. Y el. Maquillaje.. 🤭... Sin ofender pero parece dark Queen...,0,negative
Una chola. Power.    Todo terreno. ♥️♥️😍😍     Linda #yidda,Una chola. Power. Todo terreno. ♥️♥️😍😍 Linda yidda,2,positive
"Golazo y punto, ese pelado habla huevadas, son segundos, seguro nunca pateo un ⚽","Golazo y punto, ese pelado habla huevadas, son segundos, seguro nunca pateo un ⚽",0,negative
Una corrida de paja es más que malos pensamientos,Una corrida de paja es más que malos pensamientos,0,negative
Ese platillo se come sin cuchillo sin tenedor ✋🏻😉🤚🏻,Ese platillo se come sin cuchillo sin tenedor ✋🏻😉🤚🏻,1,neutral
Yo hablo 😂al acento para poder vacilar más con mis amigos del Perú no es como parte de mi día a día si no que si les hablas con palabras muy venezolanas como que no hay chiste entiende pe chato estudia sonso,Yo hablo 😂al acento para poder vacilar más con mis amigos del Perú no es como parte de mi día a día si no que si les hablas con palabras muy venezolanas como que no hay chiste entiende pe chato estudia sonso,1,neutral
Pero me recuerdo que estabas peinado en Huascaran 😁😁😁,Pero me recuerdo que estabas peinado en Huascaran 😁😁😁,1,neutral
"Estuviste en Bogotá!!!! 😃, yo estoy en Bogotá es lindo. Maud te recomiendo hacer tres viajes adicionales a Colombia; 1) el Caribe colombiano : Santa Marta, Cartagena e Islas Baru 2) el Eje cafetero en el departamento de Quindio. Punto de llegada a Armenia o Montenegro  3) Santander al norte de Bogotá en el departamento de Bucaramanga, punto de llegada San Gil","Estuviste en Bogotá!!!! 😃, yo estoy en Bogotá es lindo. Maud te recomiendo hacer tres viajes adicionales a Colombia; 1) el Caribe colombiano : Santa Marta, Cartagena e Islas Baru 2) el Eje cafetero en el departamento de Quindio. Punto de llegada a Armenia o Montenegro 3) Santander al norte de Bogotá en el departamento de Bucaramanga, punto de llegada San Gil",2,positive
El profesor Jirafales lesaco la vuelta a doña Florinda con la bruja del 71😁😁😁😁,El profesor Jirafales lesaco la vuelta a doña Florinda con la bruja del 71😁😁😁😁,0,negative
Karol Chancafe Garcia Prepárate pera ir a comer  prontito 😉😋.,Karol Chancafe Garcia Prepárate pera ir a comer prontito 😉😋.,2,positive
